Type,maximum_budget,maximum_budget_unit,case_study,,,,
187,2.68E+03,MtCO2e,PH-SG,,,,
188,2013.352622,MtCO2e,PH-SG,,,,
189,1342.235082,MtCO2e,PH-SG,,,,
190,671.1175408,MtCO2e,PH-SG,,,,
191,0,MtCO2e,PH-SG,,,,
192,451.01085,MtCO2e,PH-SG,,,,
193,902.0217,MtCO2e,PH-SG,,,,
194,1353.03255,MtCO2e,PH-SG,,,,
195,1804.0434,MtCO2e,PH-SG,,,,
196,2255.05425,MtCO2e,PH-SG,,,,
197,2.71E+03,MtCO2e,PH-SG,,,,
198,3.38E+03,MtCO2e,MY-PH,,,,
199,2254.168036,MtCO2e,MY-PH,,,,
200,1127.084018,MtCO2e,MY-PH,,,,
201,0,MtCO2e,MY-PH,,,,
202,635.3828571,MtCO2e,MY-PH,,,,
203,1270.765714,MtCO2e,MY-PH,,,,
204,1906.148571,MtCO2e,MY-PH,,,,
205,2541.531429,MtCO2e,MY-PH,,,,
206,3176.914286,MtCO2e,MY-PH,,,,
207,3812.297143,MtCO2e,MY-PH,330,1.00E+06,MtCO2e,BAU
208,4.45E+03,MtCO2e,MY-PH,,,,
209,3783.969148,MtCO2e,TH-VN,,,,
210,1891.984574,MtCO2e,TH-VN,,,,
211,0,MtCO2e,TH-VN,,,,
212,561.0226875,MtCO2e,TH-VN,,,,
213,1122.045375,MtCO2e,TH-VN,,,,
214,1683.068063,MtCO2e,TH-VN,,,,
215,2244.09075,MtCO2e,TH-VN,,,,
216,2805.113438,MtCO2e,TH-VN,,,,
217,3366.136125,MtCO2e,TH-VN,,,,
218,3927.158813,MtCO2e,TH-VN,,,,
219,4488.1815,MtCO2e,TH-VN,,,,
220,2155.176818,MtCO2e,LA-VN,,,,
221,1077.588409,MtCO2e,LA-VN,,,,
222,0,MtCO2e,LA-VN,,,,
223,321.5467463,MtCO2e,LA-VN,,,,
224,643.0934925,MtCO2e,LA-VN,,,,
225,964.6402388,MtCO2e,LA-VN,,,,
226,1286.186985,MtCO2e,LA-VN,,,,
227,1607.733731,MtCO2e,LA-VN,,,,
228,1929.280478,MtCO2e,LA-VN,,,,
229,2250.827224,MtCO2e,LA-VN,,,,
230,2572.37397,MtCO2e,LA-VN,,,,
231,2264.048353,MtCO2e,KH-VN,,,,
232,1132.024176,MtCO2e,KH-VN,,,,
233,0,MtCO2e,KH-VN,,,,
234,347.630145,MtCO2e,KH-VN,,,,
235,695.26029,MtCO2e,KH-VN,,,,
236,1042.890435,MtCO2e,KH-VN,,,,
237,1390.52058,MtCO2e,KH-VN,,,,
238,1738.150725,MtCO2e,KH-VN,,,,
239,2085.78087,MtCO2e,KH-VN,,,,
240,2433.411015,MtCO2e,KH-VN,,,,
241,2781.04116,MtCO2e,KH-VN,,,,
