Charging_profile,Unit
0.099102075,GWh/GWh fleet
0.09876655,GWh/GWh fleet
0.098202257,GWh/GWh fleet
0.096204354,GWh/GWh fleet
0.093459144,GWh/GWh fleet
0.094236953,GWh/GWh fleet
0.092894851,GWh/GWh fleet
0.089951376,GWh/GWh fleet
0.084628719,GWh/GWh fleet
0.080099123,GWh/GWh fleet
0.075127243,GWh/GWh fleet
0.073541121,GWh/GWh fleet
0.072092261,GWh/GWh fleet
0.071390707,GWh/GWh fleet
0.071146688,GWh/GWh fleet
0.073693633,GWh/GWh fleet
0.079489076,GWh/GWh fleet
0.084613468,GWh/GWh fleet
0.092406814,GWh/GWh fleet
0.096143349,GWh/GWh fleet
0.098583536,GWh/GWh fleet
0.098568285,GWh/GWh fleet
0.097363442,GWh/GWh fleet
0.098888559,GWh/GWh fleet
0.09930034,GWh/GWh fleet
0.098339517,GWh/GWh fleet
0.097927736,GWh/GWh fleet
0.095960335,GWh/GWh fleet
0.092849097,GWh/GWh fleet
0.093306632,GWh/GWh fleet
0.0922238,GWh/GWh fleet
0.088899045,GWh/GWh fleet
0.083393375,GWh/GWh fleet
0.07915355,GWh/GWh fleet
0.076088066,GWh/GWh fleet
0.07247354,GWh/GWh fleet
0.070673902,GWh/GWh fleet
0.06972833,GWh/GWh fleet
0.069926595,GWh/GWh fleet
0.072824317,GWh/GWh fleet
0.078390992,GWh/GWh fleet
0.083515384,GWh/GWh fleet
0.090759688,GWh/GWh fleet
0.094511474,GWh/GWh fleet
0.096890656,GWh/GWh fleet
0.096966912,GWh/GWh fleet
0.095884079,GWh/GWh fleet
0.097515954,GWh/GWh fleet
0.097912484,GWh/GWh fleet
0.097866731,GWh/GWh fleet
0.097668466,GWh/GWh fleet
0.095411293,GWh/GWh fleet
0.0928796,GWh/GWh fleet
0.093398139,GWh/GWh fleet
0.09196453,GWh/GWh fleet
0.08947859,GWh/GWh fleet
0.084628719,GWh/GWh fleet
0.079839853,GWh/GWh fleet
0.074822219,GWh/GWh fleet
0.072824317,GWh/GWh fleet
